-4.81,6.36,-4.77,-1.51,1.55,1.0
3.15,16.10,3.19,-1.32,1.36,1.0
3.15,6.42,5.93,0.55,1.35,0.0
2.69,4.83,8.38,4.32,1.37,1.0
3.15,12.06,8.64,5.07,0.41,0.0
3.15,30.11,3.01,-1.32,1.17,1.0
3.15,-4.02,8.88,5.07,1.15,0.0
1.14,-2.50,2.78,1.83,0.32,1.0
3.15,75.27,2.66,-1.32,0.82,1.0
0.00,27.70,2.31,0.00,2.31,0.0
3.15,75.85,5.08,-1.32,0.63,0.0
3.15,210.12,0.18,-1.32,-1.66,0.0
2.95,27.83,1.80,-1.41,0.91,1.0
2.54,3.58,0.56,-1.64,-0.33,0.0
2.35,6.44,0.57,-1.77,-0.00,1.0
0.00,35.20,2.31,0.00,2.31,0.0
-7.36,12.19,-6.76,-1.32,1.92,1.0
0.00,19.94,2.31,0.00,2.31,1.0
3.15,84.54,-1.27,-1.32,-3.11,1.0
2.20,5.05,1.62,-1.89,1.32,1.0
0.00,77.72,2.31,0.00,2.31,0.0
3.15,4.90,1.42,-1.32,-0.42,0.0
0.00,40.27,2.31,0.00,2.31,1.0
1.67,2.36,-0.38,-2.50,0.45,1.0
3.15,58.82,8.97,6.27,-0.45,0.0
3.15,17.35,2.82,-1.32,0.99,1.0
0.00,19.59,2.31,0.00,2.31,1.0
3.15,48.35,3.59,-1.32,1.76,1.0
3.15,124.76,14.66,10.72,0.79,0.0
-7.36,19.57,-0.57,5.07,0.46,1.0
0.00,16.97,2.31,0.00,2.31,1.0
2.31,2.97,6.46,3.71,-0.84,1.0
1.29,1.44,-1.11,-3.23,0.83,1.0
0.00,64.53,2.31,0.00,2.31,0.0
0.00,1.35,2.31,0.00,2.31,1.0
1.59,1.95,-1.28,-2.62,0.40,1.0
3.15,1.74,2.39,-1.32,0.55,1.0
2.20,-2.48,3.08,1.26,0.78,0.0
3.15,19.19,1.55,-1.32,-0.29,1.0
3.15,120.03,0.63,-1.32,-1.21,0.0
3.15,26.06,4.38,-1.32,2.54,1.0
2.12,12.53,1.41,-1.96,1.25,1.0
0.00,72.65,2.31,0.00,2.31,1.0
-2.60,36.96,-2.50,-1.32,0.69,0.0
3.15,24.47,2.96,0.55,-0.74,0.0
0.00,9.89,2.31,0.00,2.31,1.0
3.15,42.50,10.70,7.91,-1.52,0.0
2.20,2.54,1.35,-1.89,1.05,1.0
3.15,37.31,2.27,-1.32,0.44,1.0
0.00,50.93,2.31,0.00,2.31,1.0
3.15,19.48,13.16,10.72,-1.46,0.0
3.15,51.96,6.82,0.55,2.07,0.0
3.15,68.77,11.39,5.07,1.89,0.0
3.15,49.36,2.45,-1.32,1.27,1.0
3.15,125.95,1.68,-1.32,-0.16,0.0
2.04,13.08,7.63,6.94,-1.36,0.0
3.15,19.82,3.30,0.55,0.25,0.0
3.15,38.45,9.53,5.07,0.34,0.0
3.15,2.07,-0.58,-1.32,-2.42,1.0
3.15,5.55,4.74,0.55,1.69,0.0
0.00,17.21,2.31,0.00,2.31,0.0
3.15,122.83,2.24,0.55,-2.63,0.0
-2.60,24.17,-1.29,0.55,0.76,1.0
3.15,6.93,5.83,-1.32,1.38,0.0
3.15,30.81,5.92,-0.81,2.36,0.0
-2.64,5.33,-3.50,-1.34,0.48,1.0
1.59,0.52,4.84,2.56,0.69,1.0
3.15,11.20,1.88,-0.12,-1.16,1.0
3.15,41.63,16.80,12.18,1.47,0.0
3.15,115.59,11.18,6.74,-0.82,0.0
0.00,27.09,2.31,0.00,2.31,1.0
0.00,14.77,2.31,0.00,2.31,1.0
3.15,300.82,3.77,6.74,-6.12,0.0
-3.23,8.32,-2.57,-1.64,1.07,1.0
0.00,98.53,2.31,0.00,2.31,0.0
3.15,37.99,1.81,-1.32,-0.02,0.0
0.00,59.41,2.31,0.00,2.31,1.0
3.15,0.16,1.91,0.55,-1.14,0.0
3.15,109.31,3.63,6.27,-5.79,0.0
3.15,72.65,10.00,5.07,2.42,0.0
3.15,20.42,8.97,6.74,-0.92,0.0
0.00,26.70,2.31,0.00,2.31,1.0
3.15,61.02,0.94,-1.32,-0.24,0.0
1.40,5.28,-1.36,-2.97,0.21,1.0
2.08,1.05,1.02,-2.00,0.94,1.0
3.15,194.76,11.02,6.74,1.78,0.0
2.16,3.72,2.25,0.38,-1.20,1.0
2.35,9.68,-0.75,-1.77,-0.67,1.0
3.15,149.19,2.87,-1.32,1.69,0.0
0.00,31.58,2.31,0.00,2.31,1.0
2.08,1.33,1.54,0.36,-0.25,1.0
0.00,93.78,2.31,0.00,2.31,0.0
3.15,17.05,3.09,-1.32,1.25,1.0
3.15,120.97,-0.75,-1.32,-2.58,0.0
0.00,167.47,2.31,0.00,2.31,0.0
-7.36,5.25,-7.49,-1.32,1.18,1.0
3.15,168.64,8.70,5.07,1.13,0.0
0.00,18.77,2.31,0.00,2.31,0.0
3.15,81.63,4.45,-1.32,-1.02,0.0
3.15,7.74,3.53,-1.32,1.69,1.0
3.15,8.04,3.15,-1.32,1.31,1.0
3.15,32.77,12.03,10.72,-1.18,0.0
3.15,32.84,3.16,-1.32,1.33,1.0
0.00,68.57,2.31,0.00,2.31,0.0
1.51,2.99,-0.33,-2.75,0.05,1.0
-7.36,9.49,4.92,10.72,1.56,1.0
3.15,35.23,-0.33,-1.32,-1.51,0.0
1.44,-2.18,5.39,3.07,0.14,1.0
3.15,-1.91,4.21,0.55,1.01,1.0
2.54,1.82,3.13,0.44,0.81,1.0
0.00,16.02,2.31,0.00,2.31,1.0
-7.36,11.98,-6.85,-1.32,2.48,1.0
0.00,2.07,2.31,0.00,2.31,1.0
3.15,76.45,2.70,6.27,-6.72,0.0
0.00,17.36,2.31,0.00,2.31,1.0
3.15,13.44,1.44,-1.32,0.26,1.0
3.15,42.85,1.85,-1.32,0.01,1.0
3.15,8.51,1.61,-1.32,-0.22,1.0
3.15,0.46,13.99,12.18,-1.35,1.0
3.07,5.70,4.34,0.53,0.74,1.0
0.00,12.12,2.31,0.00,2.31,1.0
0.00,178.92,2.31,0.00,2.31,0.0
3.15,-1.31,2.63,-1.32,1.95,1.0
2.57,1.46,-0.92,-1.62,-1.22,1.0
1.59,1.71,-0.64,-2.62,1.04,1.0
0.00,117.97,2.31,0.00,2.31,0.0
0.00,82.68,2.31,0.00,2.31,0.0
0.00,29.86,2.31,0.00,2.31,0.0
0.00,6.45,2.31,0.00,2.31,1.0
2.04,2.55,1.62,-2.04,1.61,1.0
0.00,5.84,2.31,0.00,2.31,1.0
3.15,21.89,4.61,-1.32,1.82,0.0
3.15,163.32,10.97,7.91,0.56,0.0
2.23,0.54,0.91,-1.86,1.19,1.0
3.15,9.78,1.66,-1.32,-0.17,1.0
0.00,32.82,2.31,0.00,2.31,0.0
3.15,17.63,-0.52,-1.32,-2.36,1.0
3.10,-0.18,2.93,-1.34,1.67,1.0
2.50,4.85,2.34,-1.67,1.51,1.0
3.15,47.60,3.24,0.55,-0.46,1.0
2.31,-1.75,2.23,0.40,0.02,1.0
3.15,5.51,0.95,-1.32,-0.24,0.0
2.23,2.14,1.15,-1.86,0.78,1.0
-2.60,20.10,-1.47,-1.32,2.44,1.0
2.23,0.11,0.07,-1.86,0.35,1.0
2.16,-4.18,8.05,4.29,1.14,1.0
3.15,223.77,10.16,6.27,1.39,0.0
3.15,55.16,-0.15,-1.32,-1.34,1.0
3.15,38.15,3.91,0.55,0.86,0.0
3.15,32.87,10.45,5.07,0.94,0.0
3.15,70.35,11.30,5.07,2.06,0.0
0.00,56.22,2.31,0.00,2.31,1.0
3.15,67.46,1.67,-1.32,-0.16,1.0
-7.36,11.16,1.41,6.27,2.50,0.0
3.15,86.45,-0.94,-1.32,-2.77,0.0
3.15,4.88,10.70,6.74,0.81,1.0
1.89,1.86,0.50,-2.20,0.80,1.0
3.15,10.69,-0.59,-1.32,-2.43,0.0
3.15,43.63,4.56,0.55,-0.38,0.0
3.15,34.06,3.10,-1.32,1.26,0.0
3.15,0.07,1.11,-1.32,-0.08,1.0
-7.36,31.32,-7.18,-1.32,1.49,0.0
0.00,55.94,2.31,0.00,2.31,0.0
-2.60,15.84,4.00,5.07,0.37,1.0
3.15,51.33,9.48,5.07,1.25,1.0
1.97,1.08,-0.28,-2.11,-0.14,1.0
3.15,74.41,2.38,-1.32,0.54,1.0
3.15,24.89,11.26,6.74,2.02,0.0
3.15,33.99,5.69,1.81,-0.53,0.0
3.15,-3.34,9.45,5.07,0.52,0.0
3.15,22.52,9.42,5.07,1.19,0.0
3.15,29.40,15.34,10.72,1.47,0.0
2.50,0.30,8.93,4.96,0.17,0.0
1.55,4.78,-0.78,-2.68,1.00,1.0
1.17,6.51,-3.00,-3.55,0.03,1.0
3.15,293.54,8.45,5.07,0.22,0.0
3.15,143.52,3.18,-1.32,1.34,0.0
-2.60,210.85,3.85,6.74,-0.28,0.0
0.00,118.47,2.31,0.00,2.31,0.0
0.00,68.44,2.31,0.00,2.31,1.0
3.15,14.73,11.45,6.74,0.27,0.0
2.80,7.94,2.01,-1.49,0.70,1.0
3.15,62.17,8.23,5.07,-1.26,0.0
-2.60,65.61,8.61,10.72,-0.27,0.0
3.15,3.66,2.00,-1.32,0.16,1.0
2.16,-2.46,6.17,4.29,0.23,1.0
3.15,-1.02,9.87,6.74,0.49,1.0
0.00,26.86,2.31,0.00,2.31,0.0
-2.60,4.97,-3.53,-1.32,0.39,0.0
3.15,28.86,2.86,-1.32,1.02,1.0
-7.76,14.84,-8.46,-1.39,0.70,1.0
0.00,9.58,2.31,0.00,2.31,0.0
0.00,86.12,2.31,0.00,2.31,1.0
3.15,6.18,2.85,-1.32,1.02,1.0
0.00,63.90,2.31,0.00,2.31,1.0
3.15,4.97,2.87,-1.32,1.03,1.0
3.15,42.81,4.18,-1.32,2.99,1.0
